period_type,period_start,year,month,quarter,sales_org,sector,region,bookings_usd,recognized_revenue_usd,gross_margin_pct,new_logos,avg_contract_value_usd,pipeline_usd,pipeline_coverage,mom_growth_pct,yoy_growth_pct,logo_churn_rate,net_revenue_retention,risk_flag,notes
Monthly,2024-07-01,2024,7,2024-Q3,SMB Online,Manufacturing,NA National,164000,133000,78.5,12,14000,457000,2.78,15.49,,0.014,1.154,,
Monthly,2024-07-01,2024,7,2024-Q3,SMB Online,Media & SaaS,NA National,196000,173000,72.9,13,15000,749000,3.82,22.5,,0.0163,1.143,,
Monthly,2024-07-01,2024,7,2024-Q3,SMB Online,Retail & eCommerce,NA National,190000,155000,71.3,18,11000,710000,3.75,17.28,,0.0124,1.171,,
Monthly,2024-07-01,2024,7,2024-Q3,Strategic Accounts,FinTech,NA National,844000,647000,72.8,5,169000,3389000,4.02,-6.33,,0.0016,1.01,,
Monthly,2024-07-01,2024,7,2024-Q3,Strategic Accounts,Government & Education,NA National,647000,527000,71.8,1,647000,1803000,2.79,-12.21,,0.0177,1.033,,
Monthly,2024-07-01,2024,7,2024-Q3,Strategic Accounts,Healthcare,NA National,952000,823000,58.9,2,476000,3325000,3.49,21.74,,0.0188,1.107,,
Monthly,2024-07-01,2024,7,2024-Q3,Strategic Accounts,Manufacturing,NA National,907000,815000,71.3,3,302000,2544000,2.8,11.98,,0.0062,1.219,,
Monthly,2024-07-01,2024,7,2024-Q3,Strategic Accounts,Media & SaaS,NA National,956000,732000,65.4,2,478000,3384000,3.54,2.91,,0.0134,1.145,,
Monthly,2024-07-01,2024,7,2024-Q3,Strategic Accounts,Retail & eCommerce,NA National,793000,656000,69.1,3,264000,3484000,4.39,-9.89,,0.0186,1.07,,
Monthly,2024-08-01,2024,8,2024-Q3,Channel Partners,FinTech,NA National,304000,238000,68.9,5,61000,1230000,4.05,-5.0,,0.0159,1.036,,
Monthly,2024-08-01,2024,8,2024-Q3,Channel Partners,Government & Education,NA National,267000,200000,73.7,7,38000,1159000,4.34,20.81,,0.0042,1.174,,
Monthly,2024-08-01,2024,8,2024-Q3,Channel Partners,Healthcare,NA National,306000,275000,74.1,4,76000,1291000,4.22,-6.13,,0.007,1.014,,
Monthly,2024-08-01,2024,8,2024-Q3,Channel Partners,Manufacturing,NA National,279000,210000,68.8,8,35000,1064000,3.82,-0.71,,0.003,1.175,,
Monthly,2024-08-01,2024,8,2024-Q3,Channel Partners,Media & SaaS,NA National,373000,284000,77.9,8,47000,1566000,4.19,0.54,,0.0156,1.108,,
Monthly,2024-08-01,2024,8,2024-Q3,Channel Partners,Retail & eCommerce,NA National,355000,282000,67.5,16,22000,1309000,3.69,18.33,,0.0215,1.167,,
Monthly,2024-08-01,2024,8,2024-Q3,Customer Expansion,FinTech,NA National,542000,419000,72.5,14,39000,1985000,3.66,21.52,,0.0174,1.06,,
Monthly,2024-08-01,2024,8,2024-Q3,Customer Expansion,Government & Education,NA National,364000,274000,78.2,8,46000,1581000,4.34,11.66,,0.0146,1.129,,
Monthly,2024-08-01,2024,8,2024-Q3,Customer Expansion,Healthcare,NA National,493000,422000,72.7,12,41000,1666000,3.38,3.57,,0.0099,1.156,,
Monthly,2024-08-01,2024,8,2024-Q3,Customer Expansion,Manufacturing,NA National,383000,286000,71.7,10,38000,1064000,2.78,-3.28,,0.0241,0.891,,
Monthly,2024-08-01,2024,8,2024-Q3,Customer Expansion,Media & SaaS,NA National,455000,378000,75.3,13,35000,1583000,3.48,-3.4,,0.0064,1.008,,
Monthly,2024-08-01,2024,8,2024-Q3,Customer Expansion,Retail & eCommerce,NA National,384000,315000,74.7,18,21000,1629000,4.25,5.49,,0.0162,1.043,,
Monthly,2024-08-01,2024,8,2024-Q3,Enterprise East,FinTech,NA East,638000,497000,70.9,2,319000,2380000,3.73,34.6,,0.0142,1.071,,
Monthly,2024-08-01,2024,8,2024-Q3,Enterprise East,Government & Education,NA East,441000,368000,78.0,4,110000,1418000,3.21,4.75,,0.0184,1.084,,
Monthly,2024-08-01,2024,8,2024-Q3,Enterprise East,Healthcare,NA East,637000,516000,83.6,4,159000,3169000,4.98,18.4,,0.0123,1.116,,
Monthly,2024-08-01,2024,8,2024-Q3,Enterprise East,Manufacturing,NA East,517000,409000,68.8,3,172000,1732000,3.35,7.26,,0.0171,1.096,,
Monthly,2024-08-01,2024,8,2024-Q3,Enterprise East,Media & SaaS,NA East,569000,433000,75.2,3,190000,2188000,3.85,-5.01,,0.0141,1.168,,
Monthly,2024-08-01,2024,8,2024-Q3,Enterprise East,Retail & eCommerce,NA East,628000,551000,73.8,6,105000,2171000,3.46,29.75,,0.0108,1.053,,
Monthly,2024-08-01,2024,8,2024-Q3,Enterprise West,FinTech,NA West,513000,416000,72.2,4,128000,2147000,4.19,-22.04,,0.0225,1.074,,
Monthly,2024-08-01,2024,8,2024-Q3,Enterprise West,Government & Education,NA West,430000,327000,72.2,4,108000,988000,2.3,-10.42,,0.0165,1.101,,
Monthly,2024-08-01,2024,8,2024-Q3,Enterprise West,Healthcare,NA West,541000,443000,76.4,4,135000,1805000,3.34,-9.23,,0.012,1.089,,
Monthly,2024-08-01,2024,8,2024-Q3,Enterprise West,Manufacturing,NA West,431000,345000,60.2,2,215000,1845000,4.28,-25.43,,0.0084,1.002,,
Monthly,2024-08-01,2024,8,2024-Q3,Enterprise West,Media & SaaS,NA West,619000,492000,71.5,6,103000,2281000,3.68,4.21,,0.0068,1.136,,
Monthly,2024-08-01,2024,8,2024-Q3,Enterprise West,Retail & eCommerce,NA West,473000,402000,78.8,8,59000,1760000,3.72,-20.24,,0.0225,1.129,,
Monthly,2024-08-01,2024,8,2024-Q3,Hardware & Appliances,FinTech,NA National,116000,83000,48.7,5,23000,166000,1.44,-14.07,,0.0312,0.882,Declining,Downtrend in bookings and pipeline; monitor profitability and support burden.
Monthly,2024-08-01,2024,8,2024-Q3,Hardware & Appliances,Government & Education,NA National,89000,75000,55.3,7,13000,97000,1.09,1.14,,0.0277,0.92,Declining,Downtrend in bookings and pipeline; monitor profitability and support burden.
Monthly,2024-08-01,2024,8,2024-Q3,Hardware & Appliances,Healthcare,NA National,120000,88000,53.2,10,12000,238000,1.98,-0.83,,0.0311,0.93,Declining,Downtrend in bookings and pipeline; monitor profitability and support burden.
Monthly,2024-08-01,2024,8,2024-Q3,Hardware & Appliances,Manufacturing,NA National,97000,80000,42.6,8,12000,233000,2.4,-11.01,,0.039,0.715,Declining,Downtrend in bookings and pipeline; monitor profitability and support burden.
Monthly,2024-08-01,2024,8,2024-Q3,Hardware & Appliances,Media & SaaS,NA National,123000,93000,54.9,6,20000,155000,1.26,6.03,,0.0214,0.912,Declining,Downtrend in bookings and pipeline; monitor profitability and support burden.
Monthly,2024-08-01,2024,8,2024-Q3,Hardware & Appliances,Retail & eCommerce,NA National,112000,88000,46.2,7,16000,198000,1.76,-7.44,,0.0328,0.827,Declining,Downtrend in bookings and pipeline; monitor profitability and support burden.
Monthly,2024-08-01,2024,8,2024-Q3,International APAC,FinTech,APAC,296000,261000,73.0,4,74000,1098000,3.71,7.64,,0.0074,1.106,,
Monthly,2024-08-01,2024,8,2024-Q3,International APAC,Government & Education,APAC,192000,153000,65.0,7,27000,790000,4.11,-4.95,,0.0166,1.207,,
Monthly,2024-08-01,2024,8,2024-Q3,International APAC,Healthcare,APAC,243000,196000,72.9,7,35000,757000,3.12,5.65,,0.0226,0.986,,
Monthly,2024-08-01,2024,8,2024-Q3,International APAC,Manufacturing,APAC,219000,162000,74.6,7,31000,776000,3.55,-12.4,,0.0151,1.102,,
Monthly,2024-08-01,2024,8,2024-Q3,International APAC,Media & SaaS,APAC,280000,223000,69.0,5,56000,990000,3.53,7.28,,0.0246,1.062,,
Monthly,2024-08-01,2024,8,2024-Q3,International APAC,Retail & eCommerce,APAC,240000,208000,75.6,7,34000,790000,3.28,8.11,,0.0121,1.169,,
Monthly,2024-08-01,2024,8,2024-Q3,International EMEA,FinTech,EMEA,350000,264000,71.6,4,88000,1514000,4.32,1.74,,0.0157,1.145,,
Monthly,2024-08-01,2024,8,2024-Q3,International EMEA,Government & Education,EMEA,258000,214000,80.3,7,37000,897000,3.48,-0.77,,0.0052,1.103,,
Monthly,2024-08-01,2024,8,2024-Q3,International EMEA,Healthcare,EMEA,299000,229000,68.4,7,43000,912000,3.05,-9.67,,0.021,1.035,,
Monthly,2024-08-01,2024,8,2024-Q3,International EMEA,Manufacturing,EMEA,285000,256000,71.5,7,41000,1357000,4.76,-2.73,,0.0077,1.207,,
Monthly,2024-08-01,2024,8,2024-Q3,International EMEA,Media & SaaS,EMEA,315000,255000,61.4,6,53000,1386000,4.4,-6.25,,0.0031,1.211,,
Monthly,2024-08-01,2024,8,2024-Q3,International EMEA,Retail & eCommerce,EMEA,238000,177000,74.1,9,26000,848000,3.56,-23.47,,0.0186,1.084,,
Monthly,2024-08-01,2024,8,2024-Q3,Legacy On-Prem,FinTech,NA National,182000,140000,58.3,5,36000,381000,2.09,3.41,,0.0324,0.833,Declining,Downtrend in bookings and pipeline; monitor profitability and support burden.
Monthly,2024-08-01,2024,8,2024-Q3,Legacy On-Prem,Government & Education,NA National,151000,118000,61.3,9,17000,279000,1.84,12.69,,0.0434,0.766,Declining,Downtrend in bookings and pipeline; monitor profitability and support burden.
Monthly,2024-08-01,2024,8,2024-Q3,Legacy On-Prem,Healthcare,NA National,170000,132000,47.0,9,19000,239000,1.41,5.59,,0.0247,0.902,Declining,Downtrend in bookings and pipeline; monitor profitability and support burden.
Monthly,2024-08-01,2024,8,2024-Q3,Legacy On-Prem,Manufacturing,NA National,148000,123000,47.1,7,21000,346000,2.33,-15.91,,0.0327,0.914,Declining,Downtrend in bookings and pipeline; monitor profitability and support burden.
Monthly,2024-08-01,2024,8,2024-Q3,Legacy On-Prem,Media & SaaS,NA National,175000,144000,52.1,9,19000,316000,1.81,1.74,,0.0276,0.877,Declining,Downtrend in bookings and pipeline; monitor profitability and support burden.
Monthly,2024-08-01,2024,8,2024-Q3,Legacy On-Prem,Retail & eCommerce,NA National,171000,122000,43.8,8,21000,274000,1.61,9.62,,0.0291,0.764,Declining,Downtrend in bookings and pipeline; monitor profitability and support burden.
Monthly,2024-08-01,2024,8,2024-Q3,Mid-Market,FinTech,NA National,319000,264000,66.2,9,35000,1209000,3.79,-8.33,,0.0,1.181,,
Monthly,2024-08-01,2024,8,2024-Q3,Mid-Market,Government & Education,NA National,284000,254000,74.2,6,47000,1180000,4.16,12.25,,0.0058,1.243,,
Monthly,2024-08-01,2024,8,2024-Q3,Mid-Market,Healthcare,NA National,305000,266000,71.3,8,38000,1095000,3.59,-4.39,,0.002,1.107,,
Monthly,2024-08-01,2024,8,2024-Q3,Mid-Market,Manufacturing,NA National,315000,273000,65.2,5,63000,1026000,3.26,2.61,,0.0104,1.119,,
Monthly,2024-08-01,2024,8,2024-Q3,Mid-Market,Media & SaaS,NA National,358000,300000,74.0,9,40000,1485000,4.15,-5.29,,0.0082,1.122,,
Monthly,2024-08-01,2024,8,2024-Q3,Mid-Market,Retail & eCommerce,NA National,351000,313000,70.8,6,58000,1397000,3.98,16.23,,0.003,1.223,,
Monthly,2024-08-01,2024,8,2024-Q3,Public Sector,FinTech,NA National,219000,167000,79.4,2,110000,791000,3.61,-2.67,,0.0099,1.091,,
Monthly,2024-08-01,2024,8,2024-Q3,Public Sector,Government & Education,NA National,170000,148000,70.5,3,57000,573000,3.37,11.84,,0.0147,1.163,,
Monthly,2024-08-01,2024,8,2024-Q3,Public Sector,Healthcare,NA National,221000,178000,67.7,7,32000,711000,3.22,8.87,,0.0184,1.08,,
Monthly,2024-08-01,2024,8,2024-Q3,Public Sector,Manufacturing,NA National,179000,159000,74.2,4,45000,567000,3.17,28.78,,0.0027,1.114,,
Monthly,2024-08-01,2024,8,2024-Q3,Public Sector,Media & SaaS,NA National,238000,185000,73.3,4,60000,836000,3.51,11.21,,0.0184,1.172,,
Monthly,2024-08-01,2024,8,2024-Q3,Public Sector,Retail & eCommerce,NA National,217000,174000,68.8,5,43000,777000,3.59,7.96,,0.0258,1.105,,
Monthly,2024-08-01,2024,8,2024-Q3,SMB Online,FinTech,NA National,178000,154000,71.9,15,12000,953000,5.36,-1.66,,0.0392,1.179,,
Monthly,2024-08-01,2024,8,2024-Q3,SMB Online,Government & Education,NA National,135000,120000,74.7,4,34000,549000,4.06,-10.6,,0.0043,1.028,,
Monthly,2024-08-01,2024,8,2024-Q3,SMB Online,Healthcare,NA National,160000,143000,79.6,18,9000,648000,4.06,-13.51,,0.0212,1.042,,
Monthly,2024-08-01,2024,8,2024-Q3,SMB Online,Manufacturing,NA National,177000,138000,73.2,19,9000,621000,3.5,7.93,,0.0168,1.138,,
Monthly,2024-08-01,2024,8,2024-Q3,SMB Online,Media & SaaS,NA National,171000,127000,66.2,10,17000,594000,3.47,-12.76,,0.0158,1.179,,
Monthly,2024-08-01,2024,8,2024-Q3,SMB Online,Retail & eCommerce,NA National,170000,135000,79.4,11,15000,664000,3.92,-10.53,,0.0184,1.088,,
Monthly,2024-08-01,2024,8,2024-Q3,Strategic Accounts,FinTech,NA National,1003000,833000,74.6,5,201000,4295000,4.28,18.84,,0.0153,1.047,,
Monthly,2024-08-01,2024,8,2024-Q3,Strategic Accounts,Government & Education,NA National,757000,575000,83.1,5,151000,2940000,3.88,17.0,,0.0228,1.091,,
Monthly,2024-08-01,2024,8,2024-Q3,Strategic Accounts,Healthcare,NA National,811000,710000,67.7,4,203000,2571000,3.17,-14.81,,0.0173,1.153,,
Monthly,2024-08-01,2024,8,2024-Q3,Strategic Accounts,Manufacturing,NA National,853000,721000,69.7,3,284000,2294000,2.69,-5.95,,0.0,1.056,,
Monthly,2024-08-01,2024,8,2024-Q3,Strategic Accounts,Media & SaaS,NA National,930000,761000,78.0,6,155000,2048000,2.2,-2.72,,0.0211,1.046,,
Monthly,2024-08-01,2024,8,2024-Q3,Strategic Accounts,Retail & eCommerce,NA National,891000,770000,80.3,4,223000,2723000,3.06,12.36,,0.0179,1.089,,
Monthly,2024-09-01,2024,9,2024-Q3,Channel Partners,FinTech,NA National,357000,308000,70.9,9,40000,1793000,5.02,17.43,,0.0176,1.09,,
Monthly,2024-09-01,2024,9,2024-Q3,Channel Partners,Government & Education,NA National,273000,218000,80.8,6,45000,870000,3.19,2.25,,0.0184,1.132,,
Monthly,2024-09-01,2024,9,2024-Q3,Channel Partners,Healthcare,NA National,362000,295000,70.7,11,33000,881000,2.44,18.3,,0.0184,1.211,,
Monthly,2024-09-01,2024,9,2024-Q3,Channel Partners,Manufacturing,NA National,325000,267000,69.1,7,46000,943000,2.9,16.49,,0.0164,1.186,,
Monthly,2024-09-01,2024,9,2024-Q3,Channel Partners,Media & SaaS,NA National,369000,299000,68.7,5,74000,1379000,3.74,-1.07,,0.0005,1.156,,
Monthly,2024-09-01,2024,9,2024-Q3,Channel Partners,Retail & eCommerce,NA National,367000,297000,62.5,9,41000,1392000,3.79,3.38,,0.0066,1.109,,
Monthly,2024-09-01,2024,9,2024-Q3,Customer Expansion,FinTech,NA National,571000,500000,80.3,9,63000,2296000,4.02,5.35,,0.0045,1.116,,
Monthly,2024-09-01,2024,9,2024-Q3,Customer Expansion,Government & Education,NA National,410000,314000,73.5,14,29000,1476000,3.6,12.64,,0.0191,1.031,,
Monthly,2024-09-01,2024,9,2024-Q3,Customer Expansion,Healthcare,NA National,545000,405000,71.4,15,36000,1675000,3.07,10.55,,0.0254,1.056,,
Monthly,2024-09-01,2024,9,2024-Q3,Customer Expansion,Manufacturing,NA National,454000,342000,73.4,10,45000,1001000,2.2,18.54,,0.012,0.984,,
Monthly,2024-09-01,2024,9,2024-Q3,Customer Expansion,Media & SaaS,NA National,569000,449000,70.7,11,52000,2215000,3.89,25.05,,0.0145,1.016,,
Monthly,2024-09-01,2024,9,2024-Q3,Customer Expansion,Retail & eCommerce,NA National,542000,454000,72.7,11,49000,1766000,3.26,41.15,,0.0089,1.133,,
Monthly,2024-09-01,2024,9,2024-Q3,Enterprise East,FinTech,NA East,563000,468000,67.8,1,563000,2451000,4.35,-11.76,,0.0222,1.083,,
Monthly,2024-09-01,2024,9,2024-Q3,Enterprise East,Government & Education,NA East,456000,396000,62.7,4,114000,2445000,5.37,3.4,,0.0262,1.0,,
Monthly,2024-09-01,2024,9,2024-Q3,Enterprise East,Healthcare,NA East,613000,477000,73.7,5,123000,2630000,4.29,-3.77,,0.0108,1.097,,
Monthly,2024-09-01,2024,9,2024-Q3,Enterprise East,Manufacturing,NA East,549000,479000,73.4,5,110000,1847000,3.36,6.19,,0.0088,1.114,,
Monthly,2024-09-01,2024,9,2024-Q3,Enterprise East,Media & SaaS,NA East,620000,513000,71.5,3,207000,2276000,3.67,8.96,,0.0153,1.049,,
Monthly,2024-09-01,2024,9,2024-Q3,Enterprise East,Retail & eCommerce,NA East,512000,431000,71.4,5,102000,2063000,4.03,-18.47,,0.0223,1.03,,
Monthly,2024-09-01,2024,9,2024-Q3,Enterprise West,FinTech,NA West,768000,599000,71.0,5,154000,2808000,3.66,49.71,,0.0196,1.19,,
Monthly,2024-09-01,2024,9,2024-Q3,Enterprise West,Government & Education,NA West,534000,476000,68.9,1,534000,1933000,3.62,24.19,,0.0084,1.073,,
Monthly,2024-09-01,2024,9,2024-Q3,Enterprise West,Healthcare,NA West,716000,618000,69.4,4,179000,2800000,3.91,32.35,,0.0162,1.105,,
Monthly,2024-09-01,2024,9,2024-Q3,Enterprise West,Manufacturing,NA West,616000,485000,67.1,7,88000,2750000,4.46,42.92,,0.0078,1.08,,
Monthly,2024-09-01,2024,9,2024-Q3,Enterprise West,Media & SaaS,NA West,658000,500000,72.0,3,219000,1951000,2.97,6.3,,0.0167,1.182,,
Monthly,2024-09-01,2024,9,2024-Q3,Enterprise West,Retail & eCommerce,NA West,600000,458000,71.2,5,120000,2149000,3.58,26.85,,0.0124,1.022,,
Monthly,2024-09-01,2024,9,2024-Q3,Hardware & Appliances,FinTech,NA National,120000,96000,44.6,8,15000,183000,1.52,3.45,,0.0399,0.958,Declining,Downtrend in bookings and pipeline; monitor profitability and support burden.
Monthly,2024-09-01,2024,9,2024-Q3,Hardware & Appliances,Government & Education,NA National,78000,59000,55.6,6,13000,177000,2.28,-12.36,,0.0217,0.815,Declining,Downtrend in bookings and pipeline; monitor profitability and support burden.
Monthly,2024-09-01,2024,9,2024-Q3,Hardware & Appliances,Healthcare,NA National,114000,96000,57.3,12,9000,199000,1.75,-5.0,,0.0225,0.888,Declining,Downtrend in bookings and pipeline; monitor profitability and support burden.
Monthly,2024-09-01,2024,9,2024-Q3,Hardware & Appliances,Manufacturing,NA National,92000,68000,52.7,7,13000,149000,1.62,-5.15,,0.0151,0.819,Declining,Downtrend in bookings and pipeline; monitor profitability and support burden.
Monthly,2024-09-01,2024,9,2024-Q3,Hardware & Appliances,Media & SaaS,NA National,115000,89000,42.4,4,29000,251000,2.17,-6.5,,0.0369,0.831,Declining,Downtrend in bookings and pipeline; monitor profitability and support burden.
Monthly,2024-09-01,2024,9,2024-Q3,Hardware & Appliances,Retail & eCommerce,NA National,100000,80000,62.0,9,11000,176000,1.76,-10.71,,0.035,0.747,Declining,Downtrend in bookings and pipeline; monitor profitability and support burden.
Monthly,2024-09-01,2024,9,2024-Q3,International APAC,FinTech,APAC,258000,196000,71.2,7,37000,1369000,5.31,-12.84,,0.0318,1.111,,
Monthly,2024-09-01,2024,9,2024-Q3,International APAC,Government & Education,APAC,210000,162000,69.5,7,30000,834000,3.96,9.38,,0.0095,1.066,,
Monthly,2024-09-01,2024,9,2024-Q3,International APAC,Healthcare,APAC,262000,200000,73.5,8,33000,1193000,4.55,7.82,,0.0064,1.198,,
Monthly,2024-09-01,2024,9,2024-Q3,International APAC,Manufacturing,APAC,217000,180000,69.4,7,31000,1085000,4.99,-0.91,,0.0107,1.047,,
Monthly,2024-09-01,2024,9,2024-Q3,International APAC,Media & SaaS,APAC,258000,205000,77.3,6,43000,1069000,4.14,-7.86,,0.0246,1.086,,
Monthly,2024-09-01,2024,9,2024-Q3,International APAC,Retail & eCommerce,APAC,279000,231000,74.5,7,40000,894000,3.2,16.25,,0.0123,1.131,,
Monthly,2024-09-01,2024,9,2024-Q3,International EMEA,FinTech,EMEA,438000,380000,74.7,3,146000,1840000,4.2,25.14,,0.004,1.081,,
Monthly,2024-09-01,2024,9,2024-Q3,International EMEA,Government & Education,EMEA,281000,230000,83.7,8,35000,999000,3.56,8.91,,0.0163,1.023,,
Monthly,2024-09-01,2024,9,2024-Q3,International EMEA,Healthcare,EMEA,355000,282000,73.8,6,59000,1645000,4.63,18.73,,0.0095,1.03,,
Monthly,2024-09-01,2024,9,2024-Q3,International EMEA,Manufacturing,EMEA,348000,286000,69.4,9,39000,1428000,4.11,22.11,,0.0167,1.061,,
Monthly,2024-09-01,2024,9,2024-Q3,International EMEA,Media & SaaS,EMEA,390000,324000,75.8,9,43000,1673000,4.29,23.81,,0.0,1.099,,
Monthly,2024-09-01,2024,9,2024-Q3,International EMEA,Retail & eCommerce,EMEA,359000,297000,63.7,10,36000,1503000,4.19,50.84,,0.02,1.076,,
Monthly,2024-09-01,2024,9,2024-Q3,Legacy On-Prem,FinTech,NA National,171000,129000,48.1,9,19000,382000,2.23,-6.04,,0.0274,0.819,Declining,Downtrend in bookings and pipeline; monitor profitability and support burden.
Monthly,2024-09-01,2024,9,2024-Q3,Legacy On-Prem,Government & Education,NA National,130000,92000,59.8,8,16000,289000,2.21,-13.91,,0.0226,0.804,Declining,Downtrend in bookings and pipeline; monitor profitability and support burden.
Monthly,2024-09-01,2024,9,2024-Q3,Legacy On-Prem,Healthcare,NA National,159000,117000,50.5,8,20000,305000,1.92,-6.47,,0.0396,0.782,Declining,Downtrend in bookings and pipeline; monitor profitability and support burden.
Monthly,2024-09-01,2024,9,2024-Q3,Legacy On-Prem,Manufacturing,NA National,146000,123000,53.7,6,24000,285000,1.96,-1.35,,0.0371,0.77,Declining,Downtrend in bookings and pipeline; monitor profitability and support burden.
Monthly,2024-09-01,2024,9,2024-Q3,Legacy On-Prem,Media & SaaS,NA National,151000,127000,54.6,5,30000,169000,1.12,-13.71,,0.0275,0.826,Declining,Downtrend in bookings and pipeline; monitor profitability and support burden.
Monthly,2024-09-01,2024,9,2024-Q3,Legacy On-Prem,Retail & eCommerce,NA National,160000,121000,49.5,9,18000,272000,1.7,-6.43,,0.0392,0.886,Declining,Downtrend in bookings and pipeline; monitor profitability and support burden.
Monthly,2024-09-01,2024,9,2024-Q3,Mid-Market,FinTech,NA National,369000,314000,70.5,8,46000,1208000,3.27,15.67,,0.0105,1.148,,
Monthly,2024-09-01,2024,9,2024-Q3,Mid-Market,Government & Education,NA National,293000,254000,65.6,8,37000,1208000,4.12,3.17,,0.0161,1.109,,
Monthly,2024-09-01,2024,9,2024-Q3,Mid-Market,Healthcare,NA National,383000,304000,72.6,10,38000,1644000,4.3,25.57,,0.0064,1.119,,
Monthly,2024-09-01,2024,9,2024-Q3,Mid-Market,Manufacturing,NA National,336000,264000,73.7,7,48000,1261000,3.75,6.67,,0.0221,1.033,,
Monthly,2024-09-01,2024,9,2024-Q3,Mid-Market,Media & SaaS,NA National,380000,310000,65.6,9,42000,1590000,4.19,6.15,,0.0179,1.036,,
Monthly,2024-09-01,2024,9,2024-Q3,Mid-Market,Retail & eCommerce,NA National,345000,259000,75.5,8,43000,1240000,3.59,-1.71,,0.0194,1.145,,
Monthly,2024-09-01,2024,9,2024-Q3,Public Sector,FinTech,NA National,221000,197000,68.0,4,55000,803000,3.63,0.91,,0.0153,1.143,,
Monthly,2024-09-01,2024,9,2024-Q3,Public Sector,Government & Education,NA National,163000,143000,69.6,3,54000,512000,3.15,-4.12,,0.0235,1.116,,
Monthly,2024-09-01,2024,9,2024-Q3,Public Sector,Healthcare,NA National,187000,142000,66.3,7,27000,622000,3.32,-15.38,,0.0093,1.117,,
Monthly,2024-09-01,2024,9,2024-Q3,Public Sector,Manufacturing,NA National,193000,154000,61.2,2,96000,841000,4.37,7.82,,0.0128,1.126,,
Monthly,2024-09-01,2024,9,2024-Q3,Public Sector,Media & SaaS,NA National,216000,191000,69.1,4,54000,1041000,4.81,-9.24,,0.0096,1.055,,
Monthly,2024-09-01,2024,9,2024-Q3,Public Sector,Retail & eCommerce,NA National,197000,152000,74.0,2,99000,824000,4.18,-9.22,,0.0141,1.053,,
Monthly,2024-09-01,2024,9,2024-Q3,SMB Online,FinTech,NA National,209000,177000,72.7,15,14000,709000,3.4,17.42,,0.0138,1.066,,
Monthly,2024-09-01,2024,9,2024-Q3,SMB Online,Government & Education,NA National,140000,125000,80.8,9,16000,514000,3.66,3.7,,0.007,1.169,,
Monthly,2024-09-01,2024,9,2024-Q3,SMB Online,Healthcare,NA National,174000,143000,70.1,11,16000,768000,4.41,8.75,,0.0134,1.027,,
Monthly,2024-09-01,2024,9,2024-Q3,SMB Online,Manufacturing,NA National,167000,140000,69.4,17,10000,620000,3.72,-5.65,,0.0076,1.215,,
Monthly,2024-09-01,2024,9,2024-Q3,SMB Online,Media & SaaS,NA National,189000,169000,73.6,14,14000,613000,3.24,10.53,,0.0198,1.054,,
Monthly,2024-09-01,2024,9,2024-Q3,SMB Online,Retail & eCommerce,NA National,189000,161000,73.5,8,24000,936000,4.94,11.18,,0.0155,1.142,,
Monthly,2024-09-01,2024,9,2024-Q3,Strategic Accounts,FinTech,NA National,1025000,901000,79.7,3,342000,3404000,3.32,2.19,,0.0239,1.138,,
Monthly,2024-09-01,2024,9,2024-Q3,Strategic Accounts,Government & Education,NA National,851000,707000,68.1,4,213000,3260000,3.83,12.42,,0.0155,1.235,,
Monthly,2024-09-01,2024,9,2024-Q3,Strategic Accounts,Healthcare,NA National,1088000,907000,74.2,2,544000,4193000,3.85,34.16,,0.0083,1.173,,
Monthly,2024-09-01,2024,9,2024-Q3,Strategic Accounts,Manufacturing,NA National,1004000,841000,71.6,5,201000,3428000,3.41,17.7,,0.0129,1.109,,
Monthly,2024-09-01,2024,9,2024-Q3,Strategic Accounts,Media & SaaS,NA National,1078000,811000,76.5,2,539000,3766000,3.49,15.91,,0.0052,1.251,,
Monthly,2024-09-01,2024,9,2024-Q3,Strategic Accounts,Retail & eCommerce,NA National,827000,686000,75.0,3,276000,2672000,3.23,-7.18,,0.015,1.116,,
Monthly,2024-10-01,2024,10,2024-Q4,Channel Partners,FinTech,NA National,406000,363000,70.2,7,58000,1789000,4.41,13.73,,0.0181,1.086,,
Monthly,2024-10-01,2024,10,2024-Q4,Channel Partners,Government & Education,NA National,291000,241000,77.1,10,29000,1105000,3.8,6.59,,0.021,1.121,,
Monthly,2024-10-01,2024,10,2024-Q4,Channel Partners,Healthcare,NA National,348000,289000,63.1,8,43000,1305000,3.75,-3.87,,0.0207,1.007,,
Monthly,2024-10-01,2024,10,2024-Q4,Channel Partners,Manufacturing,NA National,314000,279000,75.6,7,45000,1137000,3.62,-3.38,,0.0134,1.084,,
Monthly,2024-10-01,2024,10,2024-Q4,Channel Partners,Media & SaaS,NA National,381000,340000,70.3,2,191000,1257000,3.3,3.25,,0.0215,1.127,,
Monthly,2024-10-01,2024,10,2024-Q4,Channel Partners,Retail & eCommerce,NA National,334000,250000,80.2,3,111000,1126000,3.37,-8.99,,0.0215,1.111,,
Monthly,2024-10-01,2024,10,2024-Q4,Customer Expansion,FinTech,NA National,673000,572000,76.5,10,67000,2030000,3.02,17.86,,0.0136,1.044,,
Monthly,2024-10-01,2024,10,2024-Q4,Customer Expansion,Government & Education,NA National,472000,422000,73.8,12,39000,1692000,3.59,15.12,,0.0198,1.121,,
